record_id,year,exam,round,category,home_region,university_quota,stream,branch,college_code,college_name,college_type,city,district,state,naac_grade,naac_score,nirf_rank,fees_per_year,total_seats,category_seats,student_percentile,student_rank,aptitude_score,aptitude_stream_suitability,closing_percentile,closing_rank,previous_year_closing_percentile,previous_year_closing_rank,cutoff_trend_3yr,admission_probability
12,2024,MHT CET,CAP Round 1,OBC,Pune University,Home University,Engineering,Cyber Security,06282,"JSPM Rajarshi Shahu College of Engineering, Tathawade, Pune",Private,Pune,Pune,Maharashtra,A,3.02,420,110000,780,26,93.38,16681,65,Technology,87.7,31110,86.9,33178,Increasing: 85.80->86.90->87.70,High
13,2024,MHT CET,CAP Round 3,OPEN,Pune University,Home University,Engineering,Cyber Security,06139,"Progressive Education Society's Modern College of Engineering, Pune",Private,Pune,Pune,Maharashtra,A,3.06,390,128000,660,32,88.53,28717,56,Technology,88.5,29217,87.7,30779,Increasing: 86.60->87.70->88.50,Medium
14,2024,JEE,CAP Round 3,OBC,Pune University,Other University,Engineering,Cyber Security,06175,"Pimpri Chinchwad College of Engineering, Pune",Private,Pune,Pune,Maharashtra,A++,3.61,220,145000,960,28,99.95,1988,78,Technology,95.7,53336,94.9,61361,Increasing: 93.80->94.90->95.70,High
15,2024,MHT CET,CAP Round 2,OPEN,Mumbai University,Other University,Engineering,Information Technology,03118,"SIES Graduate School of Technology, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,A,3.13,375,137000,600,35,89.36,26656,78,Technology,92.2,19598,91.4,21840,Increasing: 90.30->91.40->92.20,Medium
16,2024,MHT CET,CAP Round 3,OPEN,Pune University,All India,Engineering,Civil Engineering,06279,"Dr. D. Y. Patil Institute of Technology, Pimpri, Pune",Private,Pune,Pune,Maharashtra,A,3.18,260,130000,780,39,93.7,16127,67,Civil,89.9,25320,89.1,27810,Increasing: 88.00->89.10->89.90,High
17,2022,MHT CET,CAP Round 3,ST,Pune University,All India,Engineering,Electronics and Telecommunication Engineering,06206,"Pune District Education Association's College of Engineering, Pune",Private,Pune,Pune,Maharashtra,B++,2.83,560,100000,420,4,64.95,87670,77,Technology,66.7,83585,65.9,85315,Increasing: 66.70->67.80->68.60,Medium
18,2024,MHT CET,CAP Round 1,SC,Pune University,Other University,Engineering,Chemical Engineering,06146,"MIT Academy of Engineering, Alandi, Pune",Private,Pune,Pune,Maharashtra,A,3.21,310,160000,840,14,90.31,24282,57,Science,85.1,37478,84.3,39685,Increasing: 83.20->84.30->85.10,High
19,2024,MHT CET,CAP Round 1,OBC,Mumbai University,All India,Engineering,Information Technology,03119,"MGM College of Engineering and Technology, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,B+,2.72,525,130000,480,12,84.59,39061,82,Technology,83.8,40776,83.0,43050,Increasing: 81.90->83.00->83.80,Medium
20,2022,MHT CET,CAP Round 2,OPEN,Pune University,Home University,Engineering,Chemical Engineering,06206,"Pune District Education Association's College of Engineering, Pune",Private,Pune,Pune,Maharashtra,B++,2.83,560,100000,420,17,71.14,72743,91,Science,73.5,66487,72.7,68737,Increasing: 73.50->74.60->75.40,Medium
21,2022,MHT CET,CAP Round 3,ST,Mumbai University,Home University,Engineering,Chemical Engineering,03183,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A,3.06,450,135000,540,6,66.88,83216,89,Science,70.3,74660,69.5,76701,Increasing: 70.30->71.40->72.20,Low
22,2022,MHT CET,CAP Round 3,EWS,Pune University,Other University,Engineering,Chemical Engineering,06274,"MIT World Peace University School of Engineering, Pune",Private,Pune,Pune,Maharashtra,A+,3.46,199,280000,840,8,83.84,40771,62,Science,90.2,24685,89.4,26545,Increasing: 90.20->91.30->92.10,Low
23,2022,MHT CET,CAP Round 1,ST,Mumbai University,Other University,Engineering,Robotics and Automation,03112,"Xavier Institute of Engineering, Mahim, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A,2.99,460,130000,420,4,71.34,72248,74,Technology,77.0,58089,76.2,59644,Increasing: 77.00->78.10->78.90,Low
24,2023,JEE,CAP Round 3,ST,Mumbai University,All India,Engineering,Robotics and Automation,03121,"Pillai College of Engineering, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,A,3.06,410,133000,660,4,82.38,212136,93,Technology,78.5,258596,77.4,271269,Increasing: 77.40->78.50->79.30,High
25,2022,JEE,CAP Round 3,ST,Mumbai University,Home University,Engineering,Cyber Security,03101,"Veermata Jijabai Technological Institute (VJTI), Mumbai",Govt,Mumbai,Mumbai,Maharashtra,A++,3.76,84,95000,720,8,82.0,216205,95,Technology,90.4,116485,89.6,126134,Increasing: 90.40->91.50->92.30,Low
26,2024,JEE,CAP Round 2,SC,Mumbai University,Other University,Engineering,Civil Engineering,03104,"K. J. Somaiya College of Engineering, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A,3.33,210,230000,720,12,84.6,184951,43,Civil,88.0,145153,87.2,154933,Increasing: 86.10->87.20->88.00,Low
27,2022,JEE,CAP Round 3,OPEN,Mumbai University,Other University,Engineering,Cyber Security,03113,"Rajiv Gandhi Institute of Technology, Andheri, Mumbai",Private,Mumbai,Mumbai,Maharashtra,B++,2.95,485,120000,540,30,89.5,127149,80,Technology,84.8,184046,84.0,193300,Increasing: 84.80->85.90->86.70,High
28,2023,JEE,CAP Round 1,VJNT,Pune University,All India,Engineering,Electronics and Telecommunication Engineering,06283,"Indira College of Engineering and Management, Pune",Private,Pune,Pune,Maharashtra,B++,2.91,520,105000,540,9,74.51,306284,83,Technology,79.5,246388,78.4,259277,Increasing: 78.40->79.50->80.30,Low
29,2022,JEE,CAP Round 1,OBC,Mumbai University,Home University,Engineering,Cyber Security,03110,"Atharva College of Engineering, Malad, Mumbai",Private,Mumbai,Mumbai,Maharashtra,B++,2.9,490,137000,600,18,85.83,170103,76,Technology,83.3,200875,82.5,210603,Increasing: 83.30->84.40->85.20,High
30,2023,JEE,CAP Round 2,VJNT,Pune University,Other University,Engineering,Robotics and Automation,06291,"RMD Sinhgad School of Engineering, Pune",Private,Pune,Pune,Maharashtra,B++,2.75,590,112000,480,4,79.06,251616,66,Technology,73.1,322981,72.0,337350,Increasing: 72.00->73.10->73.90,High
31,2023,MHT CET,CAP Round 1,OBC,Pune University,All India,Engineering,Computer Engineering,06277,"Bharati Vidyapeeth College of Engineering, Pune",Private,Pune,Pune,Maharashtra,A+,3.42,250,140000,720,25,93.9,15715,62,Technology,96.7,8717,95.6,11581,Increasing: 95.60->96.70->97.50,Medium
32,2022,MHT CET,CAP Round 2,OBC,Mumbai University,All India,Engineering,Electronics and Telecommunication Engineering,03113,"Rajiv Gandhi Institute of Technology, Andheri, Mumbai",Private,Mumbai,Mumbai,Maharashtra,B++,2.93,485,125000,540,19,72.98,67987,82,Technology,80.9,48125,80.1,50028,Increasing: 80.90->82.00->82.80,Low
33,2023,JEE,CAP Round 2,OBC,Mumbai University,Other University,Engineering,Electrical Engineering,03110,"Atharva College of Engineering, Malad, Mumbai",Private,Mumbai,Mumbai,Maharashtra,B++,2.89,490,132000,600,15,75.94,288933,75,Technology,80.6,232948,79.5,247659,Increasing: 79.50->80.60->81.40,Low
34,2023,MHT CET,CAP Round 2,EWS,Pune University,All India,Engineering,Chemical Engineering,06292,"Zeal College of Engineering and Research, Pune",Private,Pune,Pune,Maharashtra,B++,2.79,570,100000,540,10,67.96,80617,73,Science,74.1,65286,73.0,67550,Increasing: 73.00->74.10->74.90,Low
35,2022,JEE,CAP Round 2,VJNT,Pune University,Other University,Engineering,Chemical Engineering,06276,"Army Institute of Technology, Pune",Private,Pune,Pune,Maharashtra,A,3.33,180,185000,480,4,85.54,174075,80,Science,90.2,117828,89.4,128846,Increasing: 90.20->91.30->92.10,Low
36,2022,JEE,CAP Round 3,VJNT,Mumbai University,Other University,Engineering,Computer Engineering,03110,"Atharva College of Engineering, Malad, Mumbai",Private,Mumbai,Mumbai,Maharashtra,B++,2.92,490,127000,600,4,76.5,282206,80,Technology,80.3,237616,79.5,247724,Increasing: 80.30->81.40->82.20,Low
37,2024,MHT CET,CAP Round 2,EWS,Pune University,All India,Engineering,Electrical Engineering,06275,"Maharashtra Institute of Technology, Pune",Private,Pune,Pune,Maharashtra,A,3.28,230,180000,720,10,99.95,274,56,Technology,94.2,15043,93.4,16574,Increasing: 92.30->93.40->94.20,High
38,2022,MHT CET,CAP Round 1,EWS,Pune University,All India,Engineering,Electronics and Telecommunication Engineering,06273,"Vishwakarma Institute of Technology, Bibwewadi, Pune",Private,Pune,Pune,Maharashtra,A++,3.65,151,195000,900,6,97.71,5780,68,Technology,98.9,3309,98.1,4963,Increasing: 98.90->99.95->99.95,Medium
39,2022,MHT CET,CAP Round 1,OPEN,Mumbai University,Home University,Engineering,Computer Engineering,03148,"Shah & Anchor Kutchhi Engineering College, Chembur, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A,3.1,385,150000,600,24,97.38,7083,60,Technology,91.3,21854,90.5,24237,Increasing: 91.30->92.40->93.20,High
40,2023,JEE,CAP Round 1,SC,Mumbai University,All India,Engineering,Information Technology,03124,"Saraswati College of Engineering, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,B+,2.64,580,112000,420,5,68.65,376570,64,Technology,76.5,283100,75.4,296812,Increasing: 75.40->76.50->77.30,Low
41,2024,JEE,CAP Round 3,SC,Mumbai University,All India,Engineering,Civil Engineering,03183,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A,3.05,450,120000,540,9,71.01,349362,60,Civil,75.9,290367,75.1,298943,Increasing: 74.00->75.10->75.90,Low
42,2022,JEE,CAP Round 1,EWS,Mumbai University,Other University,Engineering,Artificial Intelligence and Data Science,03101,"Veermata Jijabai Technological Institute (VJTI), Mumbai",Govt,Mumbai,Mumbai,Maharashtra,A++,3.74,84,90000,720,10,97.77,26841,85,Technology,99.95,693,99.95,879,Stable: 99.95->99.95->99.95,Medium
43,2024,JEE,CAP Round 2,ST,Pune University,Other University,Engineering,Electrical Engineering,06139,"Progressive Education Society's Modern College of Engineering, Pune",Private,Pune,Pune,Maharashtra,A,3.05,390,118000,660,6,78.48,259124,71,Technology,78.9,254913,78.1,264243,Increasing: 77.00->78.10->78.90,Medium
44,2024,MHT CET,CAP Round 2,SC,Mumbai University,All India,Engineering,Chemical Engineering,03120,"Terna Engineering College, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,B+,2.67,550,115000,480,4,66.96,83127,71,Science,71.2,72530,70.4,74030,Increasing: 69.30->70.40->71.20,Low
45,2024,JEE,CAP Round 2,SC,Pune University,Other University,Engineering,Electronics and Telecommunication Engineering,06274,"MIT World Peace University School of Engineering, Pune",Private,Pune,Pune,Maharashtra,A+,3.42,199,275000,840,5,97.6,29429,70,Technology,91.2,106139,90.4,116918,Increasing: 89.30->90.40->91.20,High
46,2024,JEE,CAP Round 1,OPEN,Pune University,Home University,Engineering,Civil Engineering,06175,"Pimpri Chinchwad College of Engineering, Pune",Private,Pune,Pune,Maharashtra,A++,3.62,220,155000,960,40,88.54,137910,72,Civil,94.8,63759,94.0,72795,Increasing: 92.90->94.00->94.80,Low
47,2022,JEE,CAP Round 1,SC,Mumbai University,Other University,Engineering,Mechanical Engineering,03114,"Don Bosco Institute of Technology, Kurla, Mumbai",Private,Mumbai,Mumbai,Maharashtra,B++,2.88,500,123000,480,7,68.41,380389,61,Mechanical,74.8,303861,74.0,312343,Increasing: 74.80->75.90->76.70,Low
48,2022,JEE,CAP Round 3,ST,Mumbai University,Other University,Engineering,Cyber Security,03121,"Pillai College of Engineering, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,A,3.05,410,148000,660,8,77.61,269733,86,Technology,78.3,260899,77.5,270825,Increasing: 78.30->79.40->80.20,Medium
49,2023,JEE,CAP Round 2,ST,Mumbai University,All India,Engineering,Civil Engineering,03101,"Veermata Jijabai Technological Institute (VJTI), Mumbai",Govt,Mumbai,Mumbai,Maharashtra,A++,3.72,84,90000,720,8,85.42,175195,63,Civil,88.6,136911,87.5,151228,Increasing: 87.50->88.60->89.40,Low
50,2024,JEE,CAP Round 2,EWS,Pune University,Other University,Engineering,Civil Engineering,06732,"Ajeenkya DY Patil School of Engineering, Lohegaon, Pune",Private,Pune,Pune,Maharashtra,B++,2.83,540,130000,600,9,71.24,346571,67,Civil,75.2,298845,74.4,308295,Increasing: 73.30->74.40->75.20,Low
51,2022,JEE,CAP Round 3,SC,Mumbai University,All India,Engineering,Civil Engineering,03121,"Pillai College of Engineering, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,A,3.05,410,133000,660,7,81.49,223889,56,Civil,75.5,295257,74.7,304909,Increasing: 75.50->76.60->77.40,High
52,2023,MHT CET,CAP Round 1,ST,Pune University,Other University,Engineering,Cyber Security,06288,"Genba Sopanrao Moze College of Engineering, Pune",Private,Pune,Pune,Maharashtra,B,2.47,700,90000,360,4,62.51,93910,71,Technology,64.1,89893,63.0,92687,Increasing: 63.00->64.10->64.90,Medium
53,2024,MHT CET,CAP Round 3,SC,Mumbai University,Other University,Engineering,Chemical Engineering,03118,"SIES Graduate School of Technology, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,A,3.1,375,147000,600,10,73.01,67940,86,Science,78.9,53101,78.1,54823,Increasing: 77.00->78.10->78.90,Low
54,2022,MHT CET,CAP Round 1,EWS,Mumbai University,Home University,Engineering,Electronics and Telecommunication Engineering,03116,"St. Francis Institute of Technology, Borivali, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A,3.17,360,150000,660,6,87.21,32322,91,Technology,88.8,28316,88.0,30354,Increasing: 88.80->89.90->90.70,Medium
55,2023,MHT CET,CAP Round 3,OPEN,Pune University,All India,Engineering,Computer Engineering,06732,"Ajeenkya DY Patil School of Engineering, Lohegaon, Pune",Private,Pune,Pune,Maharashtra,B++,2.83,540,130000,600,30,75.13,62305,80,Technology,81.5,46592,80.4,49535,Increasing: 80.40->81.50->82.30,Low
56,2023,JEE,CAP Round 2,VJNT,Mumbai University,Home University,Engineering,Artificial Intelligence and Data Science,03139,"Vidyalankar Institute of Technology, Wadala, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A+,3.31,340,150000,720,9,82.82,206223,81,Technology,89.4,127568,88.3,142085,Increasing: 88.30->89.40->90.20,Low
57,2023,MHT CET,CAP Round 1,OBC,Mumbai University,Other University,Engineering,Robotics and Automation,03118,"SIES Graduate School of Technology, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,A,3.09,375,137000,600,17,81.85,45433,83,Technology,88.6,28690,87.5,31514,Increasing: 87.50->88.60->89.40,Low
58,2024,MHT CET,CAP Round 2,ST,Pune University,All India,Engineering,Chemical Engineering,06271,"COEP Technological University, Pune",Govt,Pune,Pune,Maharashtra,A++,3.74,73,40000,720,6,92.34,19186,65,Science,89.7,25900,88.9,27961,Increasing: 87.80->88.90->89.70,High
59,2023,JEE,CAP Round 2,OBC,Mumbai University,All India,Engineering,Robotics and Automation,03139,"Vidyalankar Institute of Technology, Wadala, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A+,3.33,340,150000,720,24,83.76,195342,85,Technology,91.0,109103,89.9,121430,Increasing: 89.90->91.00->91.80,Low
60,2023,JEE,CAP Round 1,ST,Mumbai University,Other University,Engineering,Civil Engineering,03113,"Rajiv Gandhi Institute of Technology, Andheri, Mumbai",Private,Mumbai,Mumbai,Maharashtra,B++,2.96,485,130000,540,4,78.52,258171,68,Civil,73.2,323343,72.1,335953,Increasing: 72.10->73.20->74.00,High
61,2023,JEE,CAP Round 1,EWS,Pune University,Home University,Engineering,Artificial Intelligence and Data Science,06289,"TSSM's Bhivarabai Sawant College of Engineering and Research, Pune",Private,Pune,Pune,Maharashtra,B+,2.64,610,98000,480,4,72.33,332698,78,Technology,77.8,267990,76.7,280939,Increasing: 76.70->77.80->78.60,Low
62,2022,MHT CET,CAP Round 2,OBC,Mumbai University,Home University,Engineering,Electronics and Telecommunication Engineering,03103,"Dwarkadas J. Sanghvi College of Engineering, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A+,3.53,160,205000,720,21,95.46,11644,85,Technology,94.3,14516,93.5,16673,Increasing: 94.30->95.40->96.20,Medium
63,2023,MHT CET,CAP Round 3,OBC,Mumbai University,All India,Engineering,Artificial Intelligence and Data Science,03148,"Shah & Anchor Kutchhi Engineering College, Chembur, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A,3.11,385,145000,600,19,81.28,46892,84,Technology,87.7,30880,86.6,33538,Increasing: 86.60->87.70->88.50,Low
64,2022,JEE,CAP Round 1,OPEN,Pune University,All India,Engineering,Electronics and Telecommunication Engineering,06175,"Pimpri Chinchwad College of Engineering, Pune",Private,Pune,Pune,Maharashtra,A++,3.59,220,145000,960,46,95.75,51226,62,Technology,98.9,14180,98.1,24272,Increasing: 98.90->99.95->99.95,Low
65,2022,JEE,CAP Round 3,ST,Mumbai University,Home University,Engineering,Computer Engineering,03183,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A,3.03,450,130000,540,4,79.91,242413,67,Technology,76.6,281764,75.8,291847,Increasing: 76.60->77.70->78.50,High
66,2024,MHT CET,CAP Round 3,SC,Mumbai University,Home University,Engineering,Information Technology,03121,"Pillai College of Engineering, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,A,3.09,410,143000,660,7,83.95,40716,100,Technology,80.8,48559,80.0,50578,Increasing: 78.90->80.00->80.80,High
67,2023,MHT CET,CAP Round 2,SC,Mumbai University,Other University,Engineering,Artificial Intelligence and Data Science,03185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A+,3.33,285,150000,720,12,83.06,42399,71,Technology,89.8,25732,88.7,28817,Increasing: 88.70->89.80->90.60,Low
68,2023,MHT CET,CAP Round 1,SC,Mumbai University,Other University,Engineering,Artificial Intelligence and Data Science,03110,"Atharva College of Engineering, Malad, Mumbai",Private,Mumbai,Mumbai,Maharashtra,B++,2.87,490,142000,600,14,73.16,67262,91,Technology,80.8,48420,79.7,51074,Increasing: 79.70->80.80->81.60,Low
69,2023,MHT CET,CAP Round 1,ST,Mumbai University,Other University,Engineering,Cyber Security,03113,"Rajiv Gandhi Institute of Technology, Andheri, Mumbai",Private,Mumbai,Mumbai,Maharashtra,B++,2.95,485,130000,540,4,70.94,73243,74,Technology,78.1,54782,77.0,57736,Increasing: 77.00->78.10->78.90,Low
70,2022,MHT CET,CAP Round 3,SC,Mumbai University,All India,Engineering,Artificial Intelligence and Data Science,03111,"Rizvi College of Engineering, Bandra, Mumbai",Private,Mumbai,Mumbai,Maharashtra,B++,2.87,505,135000,480,5,78.15,54904,76,Technology,76.1,60114,75.3,62306,Increasing: 76.10->77.20->78.00,Medium
71,2023,MHT CET,CAP Round 3,SC,Mumbai University,Home University,Engineering,Chemical Engineering,03122,"Datta Meghe College of Engineering, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,A,3.06,400,136000,600,8,70.28,74469,62,Science,75.9,60819,74.8,63192,Increasing: 74.80->75.90->76.70,Low
72,2024,JEE,CAP Round 3,OBC,Pune University,Home University,Engineering,Information Technology,06279,"Dr. D. Y. Patil Institute of Technology, Pimpri, Pune",Private,Pune,Pune,Maharashtra,A,3.19,260,140000,780,26,84.18,190569,92,Technology,92.3,93026,91.5,102682,Increasing: 90.40->91.50->92.30,Low
73,2024,JEE,CAP Round 3,VJNT,Mumbai University,All India,Engineering,Artificial Intelligence and Data Science,03119,"MGM College of Engineering and Technology, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,B+,2.75,525,115000,480,4,85.84,170172,71,Technology,80.0,241070,79.2,250733,Increasing: 78.10->79.20->80.00,High
74,2023,MHT CET,CAP Round 1,EWS,Pune University,All India,Engineering,Civil Engineering,06139,"Progressive Education Society's Modern College of Engineering, Pune",Private,Pune,Pune,Maharashtra,A,3.03,390,113000,660,4,86.25,34585,58,Civil,85.0,37696,83.9,40551,Increasing: 83.90->85.00->85.80,Medium
75,2022,JEE,CAP Round 1,ST,Mumbai University,Home University,Engineering,Information Technology,03101,"Veermata Jijabai Technological Institute (VJTI), Mumbai",Govt,Mumbai,Mumbai,Maharashtra,A++,3.71,84,90000,720,10,86.32,165926,74,Technology,93.9,74878,93.1,83699,Increasing: 93.90->95.00->95.80,Low
76,2022,JEE,CAP Round 3,VJNT,Pune University,Other University,Engineering,Cyber Security,06289,"TSSM's Bhivarabai Sawant College of Engineering and Research, Pune",Private,Pune,Pune,Maharashtra,B+,2.66,610,103000,480,6,68.02,384669,69,Technology,70.8,351607,70.0,361733,Increasing: 70.80->71.90->72.70,Medium
77,2023,MHT CET,CAP Round 3,OPEN,Pune University,All India,Engineering,Chemical Engineering,06276,"Army Institute of Technology, Pune",Private,Pune,Pune,Maharashtra,A,3.31,180,185000,480,24,96.14,9991,89,Science,94.7,13336,93.6,16108,Increasing: 93.60->94.70->95.50,Medium
78,2023,MHT CET,CAP Round 2,SC,Mumbai University,All India,Engineering,Chemical Engineering,03118,"SIES Graduate School of Technology, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,A,3.09,375,142000,600,7,76.2,59757,71,Science,79.9,50775,78.8,53417,Increasing: 78.80->79.90->80.70,Low
79,2023,JEE,CAP Round 3,SC,Pune University,Other University,Engineering,Cyber Security,06206,"Pune District Education Association's College of Engineering, Pune",Private,Pune,Pune,Maharashtra,B++,2.84,560,95000,420,9,78.28,262339,97,Technology,72.4,332909,71.3,345230,Increasing: 71.30->72.40->73.20,High
80,2022,JEE,CAP Round 1,SC,Mumbai University,All India,Engineering,Mechanical Engineering,03148,"Shah & Anchor Kutchhi Engineering College, Chembur, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A,3.06,385,150000,600,10,76.5,283325,69,Mechanical,80.9,229676,80.1,239796,Increasing: 80.90->82.00->82.80,Low
81,2024,MHT CET,CAP Round 3,OPEN,Mumbai University,Other University,Engineering,Information Technology,03120,"Terna Engineering College, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,B+,2.69,550,110000,480,21,79.09,52743,76,Technology,81.5,46783,80.7,48346,Increasing: 79.60->80.70->81.50,Medium
82,2024,JEE,CAP Round 2,EWS,Pune University,Other University,Engineering,Artificial Intelligence and Data Science,06290,"NBN Sinhgad School of Engineering, Pune",Private,Pune,Pune,Maharashtra,B+,2.63,630,101000,420,9,71.13,347102,66,Technology,76.3,285073,75.5,295258,Increasing: 74.40->75.50->76.30,Low
83,2024,MHT CET,CAP Round 2,EWS,Mumbai University,Home University,Engineering,Electrical Engineering,03118,"SIES Graduate School of Technology, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,A,3.08,375,147000,600,13,91.68,21195,78,Technology,85.9,35695,85.1,37725,Increasing: 84.00->85.10->85.90,High
84,2023,MHT CET,CAP Round 1,ST,Mumbai University,All India,Engineering,Electronics and Telecommunication Engineering,03116,"St. Francis Institute of Technology, Borivali, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A,3.18,360,150000,660,11,76.87,58355,67,Technology,83.5,41814,82.4,44122,Increasing: 82.40->83.50->84.30,Low
85,2022,MHT CET,CAP Round 2,VJNT,Pune University,All India,Engineering,Information Technology,06272,"Pune Institute of Computer Technology, Pune",Private,Pune,Pune,Maharashtra,A+,3.57,101,125000,660,8,99.95,532,79,Technology,96.4,9120,95.6,11593,Increasing: 96.40->97.50->98.30,High
86,2023,MHT CET,CAP Round 3,OPEN,Mumbai University,Other University,Engineering,Civil Engineering,03120,"Terna Engineering College, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,B+,2.7,550,115000,480,22,78.11,55212,72,Civil,74.5,63804,73.4,66530,Increasing: 73.40->74.50->75.30,High
